Qty_Completed;open_cases;Part_Desc_;Resource;activity_duration;weekday;label;Report_Type;Resource.1;timesincecasestart;Rework;timesincemidnight;concept:name;month;hour;Work_Order_Qty;Qty_for_MRB;event_nr;Complete Timestamp;lifecycle:transition;timesincelastevent;case:concept:name;Case_duplicate;case_length;base_case_id;LPMs_list;LPMs_binary;LPMs_frequency
18;16;Ballnut;ID0998;22.0;6;regular;D;Machine 11 - Grinding;28488.0;missing;765;Flat Grinding - Machine 11;3;12;18;0;7;2012-03-11 11:45:00+00:00;complete;99.0;Case100_8;Case100;8;Case100;+;0.0;0.0
18;16;Ballnut;ID4882;32.0;6;regular;D;Machine 1 - Lapping;28521.0;missing;798;Lapping - Machine 1;3;13;18;0;8;2012-03-11 12:18:00+00:00;complete;33.0;Case100_8;Case100;8;Case100;+;0.0;0.0
7;28;Ballnut;ID4219;48.0;0;regular;D;Machine 8 - Turning & Milling;0.0;missing;1077;Turning & Milling - Machine 8;2;17;18;0;1;2012-02-20 16:57:00+00:00;complete;0.0;Case100_9;Case100;9;Case100;+;0.0;0.0
11;26;Ballnut;ID4529;240.0;1;regular;D;Machine 8 - Turning & Milling;540.0;missing;177;Turning & Milling - Machine 8;2;2;18;0;2;2012-02-21 01:57:00+00:00;complete;540.0;Case100_9;Case100;9;Case100;+;0.0;0.0
1;25;Ballnut;ID4219;258.0;1;regular;S;Machine 8 - Turning & Milling;1026.0;missing;663;Turning & Milling - Machine 8;2;11;18;0;3;2012-02-21 10:03:00+00:00;complete;486.0;Case100_9;Case100;9;Case100;+;0.0;0.0
17;25;Ballnut;ID4219;64.0;1;regular;D;Machine 8 - Turning & Milling;1091.0;missing;728;Turning & Milling - Machine 8;2;12;18;0;4;2012-02-21 11:08:00+00:00;complete;65.0;Case100_9;Case100;9;Case100;+;0.0;0.0
18;28;Ballnut;ID4618;22.0;2;regular;D;Quality Check 1;2713.0;missing;910;Turning & Milling Q.C.;2;15;18;0;5;2012-02-22 14:10:00+00:00;complete;1622.0;Case100_9;Case100;9;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;1.0;6;regular;D;Machine 7- Laser Marking;28389.0;missing;666;Laser Marking - Machine 7;3;11;18;0;6;2012-03-11 10:06:00+00:00;complete;25676.0;Case100_9;Case100;9;Case100;+;0.0;0.0
18;16;Ballnut;ID0998;22.0;6;regular;D;Machine 11 - Grinding;28488.0;missing;765;Flat Grinding - Machine 11;3;12;18;0;7;2012-03-11 11:45:00+00:00;complete;99.0;Case100_9;Case100;9;Case100;+;0.0;0.0
18;16;Ballnut;ID4882;32.0;6;regular;D;Machine 1 - Lapping;28521.0;missing;798;Lapping - Machine 1;3;13;18;0;8;2012-03-11 12:18:00+00:00;complete;33.0;Case100_9;Case100;9;Case100;+;0.0;0.0
0;19;Ballnut;ID4445;7.0;1;regular;S;Machine 3 - Round Grinding;31244.0;missing;641;Round Grinding - Machine 3;3;10;18;0;9;2012-03-13 09:41:00+00:00;complete;2723.0;Case100_9;Case100;9;Case100;+;0.0;0.0
0;20;Housing;ID4219;76.0;1;regular;S;Machine 8 - Turning & Milling;0.0;missing;1203;other;3;20;27;0;1;2012-03-13 19:03:00+00:00;complete;0.0;Case101;Case101;2;Case101;+;0.0;0.0
0;20;Housing;ID4219;145.0;1;regular;S;Machine 8 - Turning & Milling;180.0;missing;1383;Turning & Milling - Machine 8;3;23;27;0;2;2012-03-13 22:03:00+00:00;complete;180.0;Case101;Case101;2;Case101;+;0.0;0.0
0;20;Housing;ID4219;76.0;1;regular;S;Machine 8 - Turning & Milling;0.0;missing;1203;other;3;20;27;0;1;2012-03-13 19:03:00+00:00;complete;0.0;Case101_10;Case101;10;Case101;+;0.0;0.0
0;20;Housing;ID4219;145.0;1;regular;S;Machine 8 - Turning & Milling;180.0;missing;1383;Turning & Milling - Machine 8;3;23;27;0;2;2012-03-13 22:03:00+00:00;complete;180.0;Case101_10;Case101;10;Case101;+;0.0;0.0
